DATE,DEXJPUS
2024-08-21,145.19
2024-08-22,145.97
2024-08-23,144.86
2024-08-26,144.51
2024-08-27,144.26
2024-08-28,144.47
2024-08-29,144.98
2024-08-30,145.95
2024-09-03,145.82
2024-09-04,144.31
2024-09-05,143.43
2024-09-06,142.13
2024-09-09,142.92
2024-09-10,142.28
2024-09-11,141.72
2024-09-12,142.24
2024-09-13,140.66
2024-09-16,140.79
2024-09-17,141.77
2024-09-18,141.93
2024-09-19,142.88
2024-09-20,143.9
2024-09-23,143.59
2024-09-24,143.77
2024-09-25,144.41
2024-09-26,144.68
2024-09-27,142.6
2024-09-30,143.25
2024-10-01,143.66
2024-10-02,146.05
2024-10-03,146.82
2024-10-04,148.69
2024-10-07,148.13
2024-10-08,148.22
2024-10-09,149.2
2024-10-10,148.56
2024-10-11,149.12
2024-10-15,149.22
2024-10-16,149.71
2024-10-17,150.12
2024-10-18,149.58
2024-10-21,150.47
2024-10-22,151.11
2024-10-23,152.81
2024-10-24,151.87
2024-10-25,152.08
2024-10-28,153.21
2024-10-29,153.47
2024-10-30,153.15
2024-10-31,152.35
2024-11-01,152.94
2024-11-04,152.02
2024-11-05,151.96
2024-11-06,154.58
2024-11-07,153.13
2024-11-08,152.58
2024-11-12,154.73
2024-11-13,155.28
2024-11-14,155.96
2024-11-15,154.59
2024-11-18,154.78
2024-11-19,154.34
2024-11-20,155.38
2024-11-21,154.66
2024-11-22,154.73
2024-11-25,154.29
2024-11-26,153.49
2024-11-27,150.69
2024-11-29,150.41
2024-12-02,149.26
2024-12-03,149.12
2024-12-04,150.18
2024-12-05,150.19
2024-12-06,149.78
2024-12-09,151.24
2024-12-10,152.05
2024-12-11,152.34
2024-12-12,152.07
2024-12-13,153.74
2024-12-16,154.18
2024-12-17,153.41
2024-12-18,154.0
2024-12-19,157.73
2024-12-20,156.11
2024-12-23,157.04
2024-12-24,157.29
2024-12-26,158.01
2024-12-27,157.73
2024-12-30,157.26
2024-12-31,157.37
2025-01-02,157.65
2025-01-03,157.2
2025-01-06,157.54
2025-01-07,157.82
2025-01-08,158.31
2025-01-09,158.01
2025-01-10,157.68
2025-01-13,157.51
2025-01-14,157.95
2025-01-15,156.6
2025-01-16,155.44
2025-01-17,156.3
2025-01-21,155.49
2025-01-22,156.62
2025-01-23,156.0
2025-01-24,155.58
2025-01-27,154.22
2025-01-28,155.65
2025-01-29,155.22
2025-01-30,154.42
