DATE,DEXJPUS
2009-10-01,90.5
2009-11-01,86.12
2009-12-01,93.08
2010-01-01,90.38
2010-02-01,88.84
2010-03-01,93.4
2010-04-01,94.24
2010-05-01,90.81
2010-06-01,88.49
2010-07-01,86.43
2010-08-01,84.1
2010-09-01,83.53
2010-10-01,80.48
2010-11-01,83.56
2010-12-01,81.67
2011-01-01,81.97
2011-02-01,81.94
2011-03-01,82.76
2011-04-01,81.31
2011-05-01,81.29
2011-06-01,80.64
2011-07-01,77.18
2011-08-01,76.5
2011-09-01,77.04
2011-10-01,77.97
2011-11-01,77.58
2011-12-01,76.98
2012-01-01,76.34
2012-02-01,81.1
2012-03-01,82.41
2012-04-01,79.81
2012-05-01,78.29
2012-06-01,79.81
2012-07-01,78.1
2012-08-01,78.3
2012-09-01,77.92
2012-10-01,79.94
2012-11-01,82.54
2012-12-01,86.64
2013-01-01,91.28
2013-02-01,92.36
2013-03-01,94.16
2013-04-01,97.52
2013-05-01,100.83
2013-06-01,99.21
2013-07-01,98.35
2013-08-01,98.22
2013-09-01,98.29
2013-10-01,98.1
2013-11-01,102.45
2013-12-01,105.25
2014-01-01,102.28
2014-02-01,102.08
2014-03-01,102.98
2014-04-01,102.14
2014-05-01,101.77
2014-06-01,101.28
2014-07-01,102.75
2014-08-01,104.0
2014-09-01,109.66
2014-10-01,112.09
2014-11-01,118.7
2014-12-01,119.85
2015-01-01,117.44
2015-02-01,119.72
2015-03-01,119.96
2015-04-01,119.86
2015-05-01,123.98
2015-06-01,122.1
2015-07-01,123.94
2015-08-01,121.26
2015-09-01,119.81
2015-10-01,120.7
2015-11-01,123.22
2015-12-01,120.27
2016-01-01,121.05
2016-02-01,112.9
2016-03-01,112.42
2016-04-01,106.9
2016-05-01,110.75
2016-06-01,102.77
2016-07-01,102.32
2016-08-01,103.38
2016-09-01,101.21
2016-10-01,105.07
2016-11-01,114.34
2016-12-01,116.78
2017-01-01,112.72
2017-02-01,112.06
2017-03-01,111.41
2017-04-01,111.44
2017-05-01,110.71
2017-06-01,112.4
2017-07-01,110.38
2017-08-01,110.06
2017-09-01,112.64
2017-10-01,113.63
2017-11-01,112.3
2017-12-01,112.69
2018-01-01,109.31
2018-02-01,106.62
2018-03-01,106.2
2018-04-01,109.28
2018-05-01,108.73
2018-06-01,110.71
2018-07-01,111.88
2018-08-01,110.98
2018-09-01,113.48
2018-10-01,112.86
2018-11-01,113.54
2018-12-01,109.7
2019-01-01,108.84
2019-02-01,111.38
2019-03-01,110.68
2019-04-01,111.4
2019-05-01,108.66
2019-06-01,107.84
2019-07-01,108.58
2019-08-01,106.3
2019-09-01,108.11
2019-10-01,108.09
2019-11-01,109.47
2019-12-01,108.67
2020-01-01,108.5
2020-02-01,108.12
2020-03-01,107.53
2020-04-01,106.94
2020-05-01,107.77
2020-06-01,107.77
2020-07-01,105.78
2020-08-01,105.84
2020-09-01,105.58
2020-10-01,104.54
2020-11-01,104.38
2020-12-01,103.19
2021-01-01,104.64
2021-02-01,106.64
2021-03-01,110.61
2021-04-01,109.33
2021-05-01,109.83
2021-06-01,111.05
2021-07-01,109.7
2021-08-01,110.05
2021-09-01,111.5
2021-10-01,114.03
2021-11-01,113.22
2021-12-01,115.17
2022-01-01,115.22
2022-02-01,115.11
2022-03-01,121.44
2022-04-01,129.84
2022-05-01,128.53
2022-06-01,135.69
2022-07-01,133.25
2022-08-01,138.69
2022-09-01,144.71
2022-10-01,148.63
2022-11-01,139.31
2022-12-01,131.81
2023-01-01,130.17
2023-02-01,136.09
2023-03-01,132.75
2023-04-01,135.99
2023-05-01,139.78
2023-06-01,144.47
2023-07-01,142.18
2023-08-01,145.68
2023-09-01,149.43
2023-10-01,151.46
2023-11-01,147.87
2023-12-01,140.92
2024-01-01,146.26
2024-02-01,149.9
2024-03-01,151.22
2024-04-01,157.54
2024-05-01,157.19
2024-06-01,160.88
2024-07-01,150.38
2024-08-01,145.95
2024-09-01,143.25
2024-10-01,152.35
2024-11-01,150.41
2024-12-01,157.37
2025-01-01,154.91
2025-02-01,150.64
2025-03-01,149.9
2025-04-01,142.63
2025-05-01,144.18
2025-06-01,144.17
2025-07-01,150.6
2025-08-01,146.9
2025-09-01,147.97
2025-10-01,154.05
2025-11-01,156.17
2025-12-01,156.8
2026-01-01,154.34
2026-02-01,156.05
2026-03-01,159.08
2026-04-01,156.66
2026-05-01,159.23
2026-06-01,162.61
2026-07-01,159.16
2026-08-01,159.74
2026-09-01,156.87
