DATE,NASDAQCOM
2009-10-01,2045.11
2009-11-01,2144.6
2009-12-01,2269.15
2010-01-01,2147.35
2010-02-01,2238.26
2010-03-01,2397.96
2010-04-01,2461.19
2010-05-01,2257.04
2010-06-01,2109.24
2010-07-01,2254.7
2010-08-01,2114.03
2010-09-01,2368.62
2010-10-01,2507.41
2010-11-01,2498.23
2010-12-01,2652.87
2011-01-01,2700.08
2011-02-01,2782.27
2011-03-01,2781.07
2011-04-01,2873.54
2011-05-01,2835.3
2011-06-01,2773.52
2011-07-01,2756.38
2011-08-01,2579.46
2011-09-01,2415.4
2011-10-01,2684.41
2011-11-01,2620.34
2011-12-01,2605.15
2012-01-01,2813.84
2012-02-01,2966.89
2012-03-01,3091.57
2012-04-01,3046.36
2012-05-01,2827.34
2012-06-01,2935.06
2012-07-01,2939.52
2012-08-01,3066.96
2012-09-01,3116.23
2012-10-01,2977.23
2012-11-01,3010.24
2012-12-01,3019.51
2013-01-01,3142.13
2013-02-01,3160.19
2013-03-01,3267.52
2013-04-01,3328.79
2013-05-01,3455.91
2013-06-01,3403.25
2013-07-01,3626.37
2013-08-01,3589.87
2013-09-01,3771.48
2013-10-01,3919.71
2013-11-01,4059.89
2013-12-01,4176.59
2014-01-01,4103.88
2014-02-01,4308.12
2014-03-01,4198.99
2014-04-01,4114.56
2014-05-01,4242.62
2014-06-01,4408.18
2014-07-01,4369.77
2014-08-01,4580.27
2014-09-01,4493.39
2014-10-01,4630.74
2014-11-01,4791.63
2014-12-01,4736.05
2015-01-01,4635.24
2015-02-01,4963.53
2015-03-01,4900.88
2015-04-01,4941.42
2015-05-01,5070.03
2015-06-01,4986.87
2015-07-01,5128.28
2015-08-01,4776.51
2015-09-01,4620.16
2015-10-01,5053.75
2015-11-01,5108.67
2015-12-01,5007.41
2016-01-01,4613.95
2016-02-01,4557.95
2016-03-01,4869.85
2016-04-01,4775.36
2016-05-01,4948.05
2016-06-01,4842.67
2016-07-01,5162.13
2016-08-01,5213.22
2016-09-01,5312.0
2016-10-01,5189.13
2016-11-01,5323.68
2016-12-01,5383.12
2017-01-01,5614.79
2017-02-01,5825.44
2017-03-01,5911.74
2017-04-01,6047.61
2017-05-01,6198.52
2017-06-01,6140.42
2017-07-01,6348.12
2017-08-01,6428.66
2017-09-01,6495.96
2017-10-01,6727.67
2017-11-01,6873.97
2017-12-01,6903.39
2018-01-01,7411.48
2018-02-01,7273.01
2018-03-01,7063.44
2018-04-01,7066.27
2018-05-01,7442.12
2018-06-01,7510.3
2018-07-01,7671.79
2018-08-01,8109.54
2018-09-01,8046.35
2018-10-01,7305.9
2018-11-01,7330.54
2018-12-01,6635.28
2019-01-01,7281.74
2019-02-01,7532.53
2019-03-01,7729.32
2019-04-01,8095.39
2019-05-01,7453.15
2019-06-01,8006.24
2019-07-01,8175.42
2019-08-01,7962.88
2019-09-01,7999.33
2019-10-01,8292.36
2019-11-01,8665.47
2019-12-01,8972.6
2020-01-01,9150.94
2020-02-01,8567.37
2020-03-01,7700.1
2020-04-01,8889.55
2020-05-01,9489.87
2020-06-01,10058.77
2020-07-01,10745.27
2020-08-01,11775.46
2020-09-01,11167.68
2020-10-01,10911.59
2020-11-01,12198.74
2020-12-01,12888.28
2021-01-01,13070.69
2021-02-01,13192.35
2021-03-01,13246.87
2021-04-01,13962.68
2021-05-01,13748.74
2021-06-01,14503.95
2021-07-01,14672.68
2021-08-01,15259.24
2021-09-01,14448.58
2021-10-01,15498.39
2021-11-01,15537.69
2021-12-01,15644.97
2022-01-01,14239.88
2022-02-01,13751.4
2022-03-01,14220.52
2022-04-01,12334.64
2022-05-01,12081.39
2022-06-01,11028.74
2022-07-01,12390.69
2022-08-01,11816.2
2022-09-01,10575.62
2022-10-01,10988.15
2022-11-01,11468.0
2022-12-01,10466.48
2023-01-01,11584.55
2023-02-01,11455.54
2023-03-01,12221.91
2023-04-01,12226.58
2023-05-01,12935.29
2023-06-01,13787.92
2023-07-01,14346.02
2023-08-01,14034.97
2023-09-01,13219.32
2023-10-01,12851.24
2023-11-01,14226.22
2023-12-01,15011.35
2024-01-01,15164.01
2024-02-01,16091.92
2024-03-01,16379.46
2024-04-01,15657.82
2024-05-01,16735.02
2024-06-01,17732.6
2024-07-01,17599.4
2024-08-01,17713.62
2024-09-01,18189.17
2024-10-01,18095.15
2024-11-01,19218.17
2024-12-01,19310.79
2025-01-01,19627.44
2025-02-01,18847.28
2025-03-01,17299.29
2025-04-01,17446.34
2025-05-01,19113.77
2025-06-01,20369.73
2025-07-01,21122.45
2025-08-01,21455.55
2025-09-01,22660.01
2025-10-01,23724.96
2025-11-01,23365.69
2025-12-01,23241.99
2026-01-01,23461.82
2026-02-01,22668.21
2026-03-01,21590.63
2026-04-01,24892.31
2026-05-01,26972.62
2026-06-01,26213.72
2026-07-01,25373.85
2026-08-01,26370.89
2026-09-01,26936.04
