DATE,NIKKEI225
2024-08-05,31458.42
2024-08-06,34675.46
2024-08-07,35089.62
2024-08-08,34831.15
2024-08-09,35025.0
2024-08-13,36232.51
2024-08-14,36442.43
2024-08-15,36726.64
2024-08-16,38062.67
2024-08-19,37388.62
2024-08-20,38062.92
2024-08-21,37951.8
2024-08-22,38211.01
2024-08-23,38364.27
2024-08-26,38110.22
2024-08-27,38288.62
2024-08-28,38371.76
2024-08-29,38362.53
2024-08-30,38647.75
2024-09-02,38700.87
2024-09-03,38686.31
2024-09-04,37047.61
2024-09-05,36657.09
2024-09-06,36391.47
2024-09-09,36215.75
2024-09-10,36159.16
2024-09-11,35619.77
2024-09-12,36833.27
2024-09-13,36581.76
2024-09-17,36203.22
2024-09-18,36380.17
2024-09-19,37155.33
2024-09-20,37723.91
2024-09-24,37940.59
2024-09-25,37870.26
2024-09-26,38925.63
2024-09-27,39829.56
2024-09-30,37919.55
2024-10-01,38651.97
2024-10-02,37808.76
2024-10-03,38552.06
2024-10-04,38635.62
2024-10-07,39332.74
2024-10-08,38937.54
2024-10-09,39277.96
2024-10-10,39380.89
2024-10-11,39605.8
2024-10-15,39910.55
2024-10-16,39180.3
2024-10-17,38911.19
2024-10-18,38981.75
2024-10-21,38954.6
2024-10-22,38411.96
2024-10-23,38104.86
2024-10-24,38143.29
2024-10-25,37913.92
2024-10-28,38605.53
2024-10-29,38903.68
2024-10-30,39277.39
2024-10-31,39081.25
2024-11-01,38053.67
2024-11-05,38474.9
2024-11-06,39480.67
2024-11-07,39381.41
2024-11-08,39500.37
2024-11-11,39533.32
2024-11-12,39376.09
2024-11-13,38721.66
2024-11-14,38535.7
2024-11-15,38642.91
2024-11-18,38220.85
2024-11-19,38414.43
2024-11-20,38352.34
2024-11-21,38026.17
2024-11-22,38283.85
2024-11-25,38780.14
2024-11-26,38442.0
2024-11-27,38134.97
2024-11-28,38349.06
2024-11-29,38208.03
2024-12-02,38513.02
2024-12-03,39248.86
2024-12-04,39276.39
2024-12-05,39395.6
2024-12-06,39091.17
2024-12-09,39160.5
2024-12-10,39367.58
2024-12-11,39372.23
2024-12-12,39849.14
2024-12-13,39470.44
2024-12-16,39457.49
2024-12-17,39364.68
2024-12-18,39081.71
2024-12-19,38813.58
2024-12-20,38701.9
