DATE,NIKKEI225
2009-10-01,10034.74
2009-11-01,9345.55
2009-12-01,10546.44
2010-01-01,10198.04
2010-02-01,10126.03
2010-03-01,11089.94
2010-04-01,11057.4
2010-05-01,9768.7
2010-06-01,9382.64
2010-07-01,9537.3
2010-08-01,8824.06
2010-09-01,9369.35
2010-10-01,9202.45
2010-11-01,9937.04
2010-12-01,10228.92
2011-01-01,10237.92
2011-02-01,10624.09
2011-03-01,9755.1
2011-04-01,9849.74
2011-05-01,9693.73
2011-06-01,9816.09
2011-07-01,9833.03
2011-08-01,8955.2
2011-09-01,8700.29
2011-10-01,8988.39
2011-11-01,8434.61
2011-12-01,8455.35
2012-01-01,8802.51
2012-02-01,9723.24
2012-03-01,10083.56
2012-04-01,9520.89
2012-05-01,8542.73
2012-06-01,9006.78
2012-07-01,8695.06
2012-08-01,8839.91
2012-09-01,8870.16
2012-10-01,8928.29
2012-11-01,9446.01
2012-12-01,10395.18
2013-01-01,11138.66
2013-02-01,11559.36
2013-03-01,12397.91
2013-04-01,13860.86
2013-05-01,13774.54
2013-06-01,13677.32
2013-07-01,13668.32
2013-08-01,13388.86
2013-09-01,14455.8
2013-10-01,14327.94
2013-11-01,15661.87
2013-12-01,16291.31
2014-01-01,14914.53
2014-02-01,14841.07
2014-03-01,14827.83
2014-04-01,14304.11
2014-05-01,14632.38
2014-06-01,15162.1
2014-07-01,15620.77
2014-08-01,15424.59
2014-09-01,16173.52
2014-10-01,16413.76
2014-11-01,17459.85
2014-12-01,17450.77
2015-01-01,17674.39
2015-02-01,18797.94
2015-03-01,19206.99
2015-04-01,19520.01
2015-05-01,20563.15
2015-06-01,20235.73
2015-07-01,20585.24
2015-08-01,18890.48
2015-09-01,17388.15
2015-10-01,19083.1
2015-11-01,19747.47
2015-12-01,19033.71
2016-01-01,17518.3
2016-02-01,16026.76
2016-03-01,16758.67
2016-04-01,16666.05
2016-05-01,17234.98
2016-06-01,15575.92
2016-07-01,16569.27
2016-08-01,16887.4
2016-09-01,16449.84
2016-10-01,17425.02
2016-11-01,18308.48
2016-12-01,19114.37
2017-01-01,19041.34
2017-02-01,19118.99
2017-03-01,18909.26
2017-04-01,19196.74
2017-05-01,19650.57
2017-06-01,20033.43
2017-07-01,19925.18
2017-08-01,19646.24
2017-09-01,20356.28
2017-10-01,22011.61
2017-11-01,22724.96
2017-12-01,22764.94
2018-01-01,23098.29
2018-02-01,22068.24
2018-03-01,21454.3
2018-04-01,22467.87
2018-05-01,22201.82
2018-06-01,22304.51
2018-07-01,22553.72
2018-08-01,22865.15
2018-09-01,24120.04
2018-10-01,21920.46
2018-11-01,22351.06
2018-12-01,20014.77
2019-01-01,20773.49
2019-02-01,21385.16
2019-03-01,21205.81
2019-04-01,22258.73
2019-05-01,20601.19
2019-06-01,21275.92
2019-07-01,21521.53
2019-08-01,20704.37
2019-09-01,21755.84
2019-10-01,22927.04
2019-11-01,23293.91
2019-12-01,23656.62
2020-01-01,23205.18
2020-02-01,21142.96
2020-03-01,18917.01
2020-04-01,20193.69
2020-05-01,21877.89
2020-06-01,22288.14
2020-07-01,21710.0
2020-08-01,23139.76
2020-09-01,23185.12
2020-10-01,22977.13
2020-11-01,26433.62
2020-12-01,27444.17
2021-01-01,27663.39
2021-02-01,28966.01
2021-03-01,29178.8
2021-04-01,28812.63
2021-05-01,28860.08
2021-06-01,28791.53
2021-07-01,27283.59
2021-08-01,28089.54
2021-09-01,29452.66
2021-10-01,28892.69
2021-11-01,27821.76
2021-12-01,28791.71
2022-01-01,27001.98
2022-02-01,26526.82
2022-03-01,27821.43
2022-04-01,26847.9
2022-05-01,27279.8
2022-06-01,26393.04
2022-07-01,27801.64
2022-08-01,28091.53
2022-09-01,25937.21
2022-10-01,27587.46
2022-11-01,27968.99
2022-12-01,26094.5
2023-01-01,27327.11
2023-02-01,27445.56
2023-03-01,28041.48
2023-04-01,28856.44
2023-05-01,30887.88
2023-06-01,33189.04
2023-07-01,33172.22
2023-08-01,32619.34
2023-09-01,31857.62
2023-10-01,30858.85
2023-11-01,33486.89
2023-12-01,33464.17
2024-01-01,36286.71
2024-02-01,39166.19
2024-03-01,40369.44
2024-04-01,38405.66
2024-05-01,38487.9
2024-06-01,39583.08
2024-07-01,39101.82
2024-08-01,38647.75
2024-09-01,37919.55
2024-10-01,39081.25
2024-11-01,38208.03
2024-12-01,39894.54
2025-01-01,39572.49
2025-02-01,37155.5
2025-03-01,35617.56
2025-04-01,36045.38
2025-05-01,37965.1
2025-06-01,40487.39
2025-07-01,41069.82
2025-08-01,42718.47
2025-09-01,44932.63
2025-10-01,52411.34
2025-11-01,50253.91
2025-12-01,50339.48
2026-01-01,53322.85
2026-02-01,58850.27
2026-03-01,51063.72
2026-04-01,59284.92
2026-05-01,66329.5
2026-06-01,70062.32
2026-07-01,64362.02
2026-08-01,66311.93
2026-09-01,65513.99
